Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
If I Ain't Got You,Alicia Keys,2003,RnB,118,44,61,17,83,,,neo soul;pop;r&b;jazz;slow;love;waltz,3XVBdLihbNbxUwZosxcGuJ
If I Had A Hammer,Peter Paul and Mary,1962,Folk,90,39,47,51,11,,,american folk revival;folk;folk rock;mellow gold;singer-songwriter;soft rock;fast;dance;groovy;retro;oldies;folk,4AaCr2lbXtxJQRpSpObAqe
I'll Be There For You (Friends theme),Rembrandts,1995,Rock,191,71,29,75,0,,,pop rock;dance;fast;love;groovy,5FC0XyIOkvY1h5bo9t44TL
Instant Crush,Daft Punk,2013,Disco,110,59,78,52,75,,,electro;filter house;rock;indie rock;alternative;dance;love,2cGxRwrMyEAp8dEbuZaVv6
Layla,Eric Clapton,1971,Rock,116,68,49,54,38,,,album rock;blues rock;classic rock;electric blues;mellow gold;rock;singer-songwriter;soft rock;acoustic;alternative;love;groovy;oldies;retro,0e4os6wHr1jbFn4yPtSEOe
Losing My Religion,R.E.M.,1991,Rock,126,86,67,80,83,,,alternative rock;athens indie;permanent wave;rock;alternative;groovy,31AOj9sFz2gM0O3hMARRBx
Make You Feel My Love,Adele,1997,Rock,65,17,32,10,72,,,british soul;pop;pop soul;uk pop;slow;love;acoustic;alternative;oldies;retro,5FgPwJ7Nh2FVmIXviKl2VF
Mamma Mia,ABBA,1975,Pop,138,75,75,83,78,,,europop;swedish pop;oldies;retro;dance;jive;groovy,2TxCwUlqaOH3TIyJqGgR91
Piano Man,Billy Joel,1973,Pop,178,55,33,43,76,,,album rock;classic rock;mellow gold;piano rock;rock;singer-songwriter;soft rock;oldies;retro;acoustic;groovy;waltz,70C4NyhjD5OZUMzvWZ3njJ
Price Tag,Jessie J,2011,Pop,175,83,64,68,61,,,dance pop;pop;atl hip hop;pop rap;rap;southern hip hop;dance;groovy;love,5mvKuE9Lf9ARVXVXA32kK9
September,Earth Wind And Fire,1978,Disco,126,83,70,98,74,,,disco;funk;jazz funk;motown;soul;groovy;fast;dance;oldies;retro,2grjqo0Frpf2okIBiifQKs
Seven Nation Army,White Stripes,2003,Rock,124,45,74,28,84,,,alternative rock;blues rock;detroit rock;garage rock;modern blues rock;permanent wave;punk blues;rock;alternative;dance;groovy;acoustic,3dPQuX8Gs42Y7b454ybpMR
Smells Like Teen Spirit,Nirvana,1991,Rock,117,91,50,72,78,,,grunge;permanent wave;rock;,5ghIJDpPoe3CfHMGu71E6T
Snow (Hey Oh),Red Hot Chili Peppers,2006,Rock,105,90,43,60,78,,,alternative rock;funk metal;funk rock;permanent wave;rock;alternative;fast;dance;groovy,2aibwv5hGXSgw7Yru8IYTO
Sultans Of Swing,Dire Straits,1978,Rock,148,80,73,93,66,,,album rock;classic rock;mellow gold;rock;oldies;retro;dance;jive;fast,6cr6UDpkjEaMQ80OjWqEBQ
Sweet Child Of Mine,Guns n Roses,1987,Rock,125,95,45,62,86,,,glam metal;hard rock;rock;dance;fast;groovy;love,7snQQk1zcKl8gZ92AnueZW
Tears in Heaven,Eric Clapton,1992,Rock,154,24,50,31,9,,,album rock;blues rock;classic rock;electric blues;mellow gold;rock;singer-songwriter;soft rock;slow;love;acoustic,7utRJ4BeYx85khzP3lKoBX
What's Up,4 Non Blondes,1993,Rock,134,56,57,45,80,,,new wave pop;pop rock;slow;groovy;alternative,0jWgAnTrNZmOGmqgvHhZEm
Wild World,Cat Stevens,1970,Rock,152,51,48,55,0,,,british folk;classic rock;folk;folk rock;mellow gold;singer-songwriter;soft rock;slow;oldies;retro;love;acoustic,4amVKQVSct5Nn5WLMNsKEV
Zombie,Cranberries,1994,Rock,167,65,31,31,83,,,irish rock;pop rock;rock;slow;groovy;alternative,7EZC6E7UjZe63f1jRmkWxt
